"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","494196287.264","610415412.388","775330038.105","1036766787.56","1273197275.604","1609307532.6","1809479431.158","2117673546.587","2672097068.341","3185085598.558","3532329694.213","3405770567.136","3493625841.881","3470486972.88","3268307380.224","3405964418.08","5044715990.82","6200000000","6432000000","6298000000","7682000000","8352000000","9212000000","8977000000","10186456236","12240000000","11613000000","11219611976","12303561168.6864","12454800000","10470854320.1451","10666500000","11342000000","13754700000","15420000000","16033500000","17085900000","19438800000","22003800000","22200000000","21330000000","23382000000","21361000000","22767486060.6278","22884792495.9716","19687055901.5669","20520370437.0829","21666177923.4175","","",
"Azerbaijan","AZE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165078932.679823","137636463.854723","91167770.55","102780115.086","119544884.969148","149026014.470631","191431961.913","201491913.3996","197676022.7504","192501209.6413","234407205.7446","292066219.7394","387413213.5674","517956369.1034","797167823.9115","1161552154.3255","1402953097.7826","1442311947.17","1572861795.6096","1416304336.91307","1732254761.26586","1904229783.92229","1532380592.57594","1077984892.78281","1188084302.28121","","",
"Burundi","BDI","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","5230516.49259516","5419109.08896726","6355985.1417","7103581.3368","7734279.3657","9071514.9206","10054453.3327","13140268.6317354","15489904.4456","19308416.6675","22548725.7572646","28984400.001","26840126.0007519","28656236.6563841","22404720.5757","26026894.53","33070263.632","33091534.47","33902973.76","35935669.0036265","36867988.08","39309220.836","38497668.588","37729419.6840244","41114474.541","46436858.6383","34205019.692","38226074.4926704","33947921.7926312","25895113.18225","26676299.8868849","24032464.98684","22565512.37118","21485250.1052437","25172844.2774517","39578868","49950713.3294993","58062872.694999","74750419.443","96339248.0778","128556512.5068","128000261.2147","132394445.454","126977586.858862","139687047.859796","160583021.879033","153109484.581349","163940643.043458","","",
"Belgium","BEL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1116006782.092","1274913805.956","1591225295.562","2329521950.736","2831774214.4811","3537589011.864","3831489490.885","4619094477.745","5562000000","6201000000","6784000000","5775000000","4980151344.492","4537606215.376","4096542330.545","4426095289.446","5929000000","6946000000","7052000000","7095000000","8901000000","9159000000","12326830017","12190000000","13356000000","8584000000","8640000000","7927859601","8110109247","10355269873.7721","11586152359.9124","13561407985.9185","15013070913.934","18083868954.8085","21131200000","21952000000","23364500000","26911400000","31594500000","30312500000","30439000000","32558400000","31344775729.0756","32711965240.8238","33552228273.6577","28373060206.9795","29437832885.8286","31379477182.5535","","",
"Benin","BEN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","10264960.9909","11286990.9752","14288116.1815","19670665.3923","20050371.5076","24996097.4851","25841105.0428","26994590.658","35307445.9054","39180130.0783457","46271578.8584534","42495827.0626843","41633268.2497788","35702946.9713013","33706230.7512926","33801218.3880193","43227739.1216362","50609207.8655019","52642870.1011849","48310263.0072895","63385822.7139934","64526341.890802","53943595.1673842","73736334.9490554","51570392.9493885","53134289.7","62810653.0325663","60732048.5244727","66404650.8116555","67471717.2696","68781131.3489","72238779.4207","80200433.0805","109057087.5456","149331316.9356","173251187.3162","177903443.964","191250744.8839","278449825.4201","303760740.18","331312693.4947","372382185.87975","384884842.2188","426244020.9195","438905691.588","331183356.725865","343658137.892539","369627442.617274","","",
"Burkina Faso","BFA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","7960570.29256749","8368705.78788635","10025149.2894068","10118034.0195","11233195.0365","14846417.648","18420020.543038","17776593.712","23431740.72","31306892.49","32718881.479","28256562.992","27907015.008","27033293.427","23278883.264","26295488.667","38587165.987","42717300.9746083","36441167.938","57281146.538","84073783.2074973","84939894.9476326","60658759.7713895","62999317.872007","54549787.553","51146585.8383489","33714858.255","56245959.362","66668033.8989341","79175599.8547705","75970501.461165","88938115.922934","110252413.207932","155906621.491693","192308503.549521","232379276.9291","245348623.4084","200928276.941462","255445295.461774","262381102.585937","282453824.212","426582278.0947","396261605.297","506016415.1032","517995936.9234","434537446.7661","452360985.5103","513783200.6934","","",
"Bangladesh","BGD","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","43986993.016173","112705737.111","155519354.032","50526484.745","57653133.396","85368133.6353747","108750033.651","127098590.99","144135312.118","131930089.823","144983838.384","175076280","203898115.386","244223833.337","273536290.324","299027236.277","353022820.524","386808665.88","347804032.125","389743630.404","442899831.803","465568427.220676","522684712.018613","621844438.959871","644973536.298","767526505.944644","697506613.98","705302389.184","723187157.147","711350557.2","1051413056.988","1005296599.2904","1120444300.00515","1221510706.22","1516485097.0138","1687498334.0613","1764900000","2224426894.01164","2737025412.282","2877837721.6645","2915472403.34293","2970924675.81961","2973550588.16741","2912247659.56254","3235830732.84727","","",
"Bulgaria","BGR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","663860461.528","747546857.132","690751199.988","593442000","649584333.321","649517999.986","804712941.16","1083687000.006","841127764.688","854066666.68","835820000.004","471963870.96","519219432.996","499940362.342","380198597.8","429474744.046","301119902.75","329097026.043813","439760359.59","414210340.135665","411402825.6338","466727111.3429","530176610.0532","812539116.7905","583049189.0892","1132336666.6023","1267932008.6445","1482319937.304","2083514807.04","2148516087.278","1972335955.045","2052180447.9165","1898557079.1705","2091862610.01332","2168691687.99098","1894142475.36258","2044690468.70372","2271188770.73929","","",
"Bahrain","BHR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","145355372.976817","168958147.425737","174712870.571322","176128611.10661","184963893.925501","165615452.906172","134993482.969847","140079775","146111170.202","150307180.83","159402925.53","168251329.785","176960372.342","185246010.632","207695744.685","208455328.728","212680851.075","226182190.697","262634344.351873","264634283.195611","351217826.722188","327102739.763091","326545873.812135","358900530.686419","402128490.720093","467269412.790421","509148085.1016","542212643.6111","634552510.6432","543756365.038426","638352636.97565","716712320.480524","783148177.6701","832662446.8017","806760041.4906","855244665.9624","876902186.1795","973200742.0188","","",
"Bahamas, The","BHS","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","16812139.8192","17905489.8","18451303.2","20949990.6","21851758.5","27053027.1","18694500","20770200","23251800","33619157.7412","40615859.2","43637205.6000001","50125261.6","55896158","66545472.0000001","76795344.8116001","83077914.4","92896931.9291999","98405120.0000001","109983772.8","113573980.8","112465928.96","116080598.4","113671841.6","119724418.4","148904071.426","169582446.9136","237030874.56","254519676.32","289858976.92","304403572.12","311409679.08","333575032.649604","334374950.52","341904233.32","370294013.029816","381613433","398393799.44","401459210.96","377485943.84","379274100.56","379046649.48","406944886.08","403809283.08","410798513.4","443409935.28","442076297.16","456705659.12","","",
"Bosnia and Herzegovina","BIH","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","779400000","774000000","868888888.887","830330578.536","819692010.72","723927905.532","677399538.458","756409755.735954","814866360.406245","652411928.487223","685359809.925578","665406294.083517","788782380.431659","968105331.70589","1258123131.5499","1688677938.7326","2103540041.982","2184993807.107","2779862949.44777","2189456068.756","2849656610.295","2728215561.9873","3062917360.5138","3554808918.196","3583232230.7838","2573943610.17077","2268231055.06261","2476983499.84127","","",
"Belize","BLZ","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","2162874.25158","2382036.29685941","2640260.253125","3104867.79429634","3864615.78367954","4425226.96662502","3702436.61291258","4686592.65525","5416454.6975","6127495.0825","8197384.77122127","8122166.414646","7415997.58900093","7804847.13033333","8644659.56408884","9326212.1642","8931795.69601568","11685240.8367765","13338735.1214011","15273956.2796733","18328571.3341891","19154111.966","21138141.8682","23817562.4896","28872848.1964","32268731.3892","30134022.9253","30286699.8096","33925941.1822737","35616593.6743432","39893675.52","40321036.11","43729323.8850001","45945706.2","47996168.85","53273802.2642854","60692869.2","65470549.821429","72378795.1285713","77696897.3231432","81425616.1409997","93090501.959","94487860.7673003","95160302.8263","99374497.155","106542179.325","108364073.76","109089744.525","","",
"Bermuda","BMU","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","5952000","6747000","7524000","8616000","9326800","10292800","11319000","12860100","13435500","14003600","17497580.2092","21856232.9918985","23416830.3034478","27269002.2676371","31303909.4186","29980800","36498753.0175444","39445897.6720556","42566224.3099722","43705466.162598","41844401.664","47818099.072","52138900.992","59385160.9980127","60911836.1986107","66249163.8748927","","","","","","","","","","","","168435981.245987","159363088.712237","137216844.8","150441879","144399024","147043344","148819881","","","","","","",
"Bolivia","BOL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","102618392.304","120092778.716","106589050.014548","148366515.78","183344122.529","159806151.057","155303714.34","148013561.068244","168310499.566889","146367965.138294","106750448.040539","118335121.499249","121318830.5","93594449.487","162973041.855898","179813457.070167","192159752.829667","195073621.013335","272540978.763","325430935.7","337872008.815","371547162.175995","408431886.233","395546016.3999","393091525.5709","431412530.832","476678604.8704","492506837.7612","499968415.518397","512755400.952594","577050205.5558","731315796.937178","1026370512.4404","1228297766.1064","1354443027.3738","1493558038.4","1542140165.0047","1744968209.09422","1902932279.7888","1937884512.0416","2025869998.8352","2213210490.8288","","",
"Brazil","BRA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1501928756.85683","1752280062.55029","2090295462.21934","2351424238.05","3743253176","4391123918","4350000000","5190000000","6272000000","7008000000","7945000000","10120000000","11481000000","5921000000","5516000000","7174000000","10496000000","11966952433","13314000000","20428953118","20854169550","27295790811","18212641407","19788289773","24885975663","32594000000","34994144880","36135258300","39130412642.7782","21640800000","24715600000","20666200000","18216100000","20585050000","25350000000","38017400000","51732000000","66445000000","85140000000","88020000000","115346000000","139995000000","133514000000","135223594900.725","136724847956.544","107903101812.408","107903101812.408","123843332761.968","","",
